iter	Passed	Remaining
0	236	118044
1	375	93554
2	494	81917
3	573	71118
4	651	64482
5	724	59653
6	806	56834
7	898	55264
8	1010	55131
9	1134	55572
10	1287	57241
11	1466	59656
12	1622	60772
13	1760	61124
14	1891	61163
15	2026	61300
16	2162	61426
17	2306	61761
18	2458	62229
19	2581	61947
20	2663	60749
21	2740	59534
22	2817	58422
23	2910	57721
24	2994	56902
25	3069	55964
26	3180	55710
27	3255	54872
28	3331	54106
29	3406	53376
30	3482	52683
31	3559	52050
32	3635	51449
33	3713	50901
34	3788	50335
35	3863	49801
36	3940	49315
37	4019	48864
38	4095	48412
39	4171	47976
40	4247	47554
41	4321	47123
42	4396	46730
43	4474	46374
44	4552	46026
45	4624	45639
46	4700	45308
47	4779	45007
48	4853	44676
49	4929	44368
50	5005	44064
51	5080	43766
52	5154	43472
53	5235	43239
54	5311	42974
55	5387	42712
56	5463	42463
57	5538	42207
58	5613	41961
59	5688	41713
60	5764	41486
61	5840	41261
62	5915	41033
63	5989	40805
64	6065	40590
65	6141	40382
66	6219	40192
67	6294	39986
68	6370	39792
69	6446	39601
70	6523	39413
71	6597	39221
72	6673	39036
73	6748	38851
74	6823	38668
75	6899	38490
76	6977	38330
77	7052	38153
78	7127	37984
79	7220	37907
80	7296	37742
81	7371	37578
82	7462	37492
83	7552	37401
84	7630	37256
85	7707	37101
86	7786	36964
87	7864	36818
88	7940	36669
89	8014	36510
90	8087	36350
91	8161	36195
92	8236	36044
93	8311	35898
94	8387	35759
95	8461	35610
96	8538	35475
97	8613	35334
98	8687	35189
99	8764	35058
100	8837	34913
101	8911	34773
102	8986	34636
103	9064	34514
104	9138	34378
105	9215	34252
106	9288	34113
107	9361	33977
108	9443	33876
109	9519	33749
110	9594	33624
111	9668	33494
112	9745	33377
113	9818	33245
114	9895	33127
115	9971	33008
116	10047	32889
117	10122	32768
118	10202	32665
119	10277	32545
120	10354	32433
121	10429	32314
122	10505	32199
123	10579	32079
124	10655	31965
125	10731	31853
126	10807	31741
127	10884	31633
128	10958	31515
129	11033	31402
130	11107	31288
131	11182	31175
132	11257	31062
133	11330	30946
134	11402	30829
135	11479	30725
136	11554	30614
137	11627	30502
138	11703	30394
139	11779	30290
140	11853	30181
141	11930	30077
142	12004	29969
143	12080	29866
144	12155	29760
145	12231	29657
146	12308	29556
147	12375	29432
148	12448	29324
149	12522	29219
150	12598	29117
151	12672	29013
152	12745	28907
153	12821	28806
154	12900	28714
155	12975	28613
156	13050	28511
157	13125	28411
158	13201	28313
159	13275	28210
160	13350	28110
161	13426	28013
162	13500	27912
163	13575	27812
164	13650	27713
165	13729	27623
166	13805	27527
167	13880	27431
168	13957	27336
169	14031	27236
170	14106	27140
171	14181	27043
172	14255	26945
173	14329	26848
174	14404	26751
175	14479	26655
176	14552	26557
177	14627	26460
178	14705	26370
179	14780	26276
180	14854	26179
181	14926	26080
182	15001	25985
183	15076	25892
184	15148	25793
185	15230	25712
186	15305	25617
187	15380	25525
188	15457	25434
189	15531	25340
190	15608	25251
191	15685	25161
192	15760	25070
193	15839	24983
194	15917	24896
195	15994	24807
196	16076	24727
197	16152	24635
198	16230	24549
199	16333	24499
200	16420	24426
201	16499	24341
202	16575	24251
203	16654	24165
204	16731	24077
205	16806	23986
206	16885	23900
207	16975	23830
208	17050	23740
209	17126	23650
210	17202	23561
211	17278	23472
212	17356	23385
213	17433	23298
214	17511	23212
215	17587	23123
216	17664	23037
217	17741	22950
218	17817	22862
219	17899	22780
220	17982	22701
221	18062	22618
222	18139	22531
223	18216	22444
224	18294	22359
225	18368	22269
226	18445	22182
227	18520	22094
228	18594	22004
229	18670	21917
230	18743	21826
231	18821	21741
232	18897	21655
233	18974	21568
234	19049	21481
235	19126	21395
236	19203	21310
237	19278	21222
238	19355	21136
239	19431	21051
240	19508	20965
241	19586	20881
242	19651	20783
243	19725	20695
244	19802	20610
245	19878	20524
246	19953	20437
247	20027	20350
248	20100	20261
